,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__decision_function_shape,param_svc__degree,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
163,0.0964475154876709,0.0010687134698035847,0.023400115966796874,0.00013460830046342103,1,ovr,3,auto,sigmoid,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
162,0.0970235824584961,0.0007203753763997838,0.0353424072265625,0.0003483368189402556,1,ovr,3,auto,rbf,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
169,0.09403414726257324,0.0007562749682646562,0.022983598709106445,0.00011411933618456772,1,ovr,5,auto,poly,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
199,0.09584560394287109,0.0004930768890883472,0.023199176788330077,5.5308917314174815e-05,10,ovo,3,scale,sigmoid,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
179,0.09685702323913574,0.0009382498117993545,0.023692560195922852,0.00043262643080513676,1,ovr,10,auto,sigmoid,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 10, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
181,0.09658331871032715,0.0015864141386305465,0.023571252822875977,0.00043916994791785917,1,ovr,10,scale,poly,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 10, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
197,0.09367008209228515,0.00026446307888904606,0.022753810882568358,7.113406798318824e-05,10,ovo,3,scale,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
196,0.09289340972900391,0.0001815055698302041,0.022664403915405272,7.530021206091375e-05,10,ovo,3,scale,linear,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
195,0.09604439735412598,0.00036304846847171957,0.023192834854125977,9.269846809288609e-05,10,ovo,3,auto,sigmoid,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
194,0.1000481128692627,0.0003193534198202207,0.0359095573425293,0.00027553421959188897,10,ovo,3,auto,rbf,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
