,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17,7.193345832824707,0.09560031512276577,0.0022892475128173826,0.00010097733611373371,1,l1,saga,"{'C': 1, 'penalty': 'l1', 'solver': 'saga'}",0.5050505050505051,0.5252525252525252,0.5306122448979591,0.5208333333333334,0.48484848484848486,0.5133194186765615,0.016594389355103826,23
1,5.573062372207642,0.07032917824570956,0.0025609016418457033,0.0006497885936406021,0.1,l1,saga,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga'}",0.5252525252525252,0.5111111111111112,0.5263157894736843,0.4719101123595505,0.5102040816326531,0.5089587239659048,0.01972581552944613,24
32,0.06858987808227539,0.006790538363479244,0.0010982513427734374,0.0003068202979002249,50,l1,liblinear,"{'C': 50, 'penalty': 'l1', 'solver': 'liblinear'}",0.45161290322580644,0.5148514851485149,0.54,0.5,0.5148514851485149,0.5042631747045673,0.02929700006369246,25
21,0.0016451835632324218,5.0672244346370854e-05,0.0,0.0,1,elasticnet,saga,"{'C': 1, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,26
37,0.0016623497009277343,7.182940483354033e-05,0.0,0.0,50,elasticnet,saga,"{'C': 50, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,26
36,0.0007985591888427735,0.00023731359962211139,0.0,0.0,50,elasticnet,liblinear,"{'C': 50, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,26
13,0.0017292499542236328,3.9139007731368753e-05,0.0,0.0,0.5,elasticnet,saga,"{'C': 0.5, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,26
4,0.0007568359375,0.00015488384376027118,0.0,0.0,0.1,elasticnet,liblinear,"{'C': 0.1, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,26
5,0.0016398906707763671,7.288240314746196e-05,0.0,0.0,0.1,elasticnet,saga,"{'C': 0.1, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,26
30,0.0018936634063720704,0.0003929236153890403,0.0,0.0,10,,liblinear,"{'C': 10, 'penalty': None, 'solver': 'liblinear'}",,,,,,,,26
29,0.0017613410949707032,3.051593895324677e-05,0.0,0.0,10,elasticnet,saga,"{'C': 10, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,26
28,0.0007238388061523438,0.00014814379716511655,0.0,0.0,10,elasticnet,liblinear,"{'C': 10, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,26
6,0.0014718055725097656,0.0005259527559167434,0.0,0.0,0.1,,liblinear,"{'C': 0.1, 'penalty': None, 'solver': 'liblinear'}",,,,,,,,26
14,0.0017809867858886719,0.00040531228570316464,0.0,0.0,0.5,,liblinear,"{'C': 0.5, 'penalty': None, 'solver': 'liblinear'}",,,,,,,,26
38,0.00106201171875,1.9431684637765138e-05,0.0,0.0,50,,liblinear,"{'C': 50, 'penalty': None, 'solver': 'liblinear'}",,,,,,,,26
22,0.0015727996826171875,0.000431657621656336,0.0,0.0,1,,liblinear,"{'C': 1, 'penalty': None, 'solver': 'liblinear'}",,,,,,,,26
20,0.0009819507598876954,0.00021107753595290296,0.0,0.0,1,elasticnet,liblinear,"{'C': 1, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,26
12,0.0008066654205322266,0.00031636550319794803,0.0,0.0,0.5,elasticnet,liblinear,"{'C': 0.5, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,26
