,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__penalty,param_lr__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
23,4.056609773635865,0.027947977616835335,0.002225828170776367,0.0007767265208197774,1,,saga,"{'lr__C': 1, 'lr__penalty': None, 'lr__solver': 'saga'}",0.5631067961165048,0.574074074074074,0.5961538461538461,0.5825242718446602,0.5961538461538461,0.5824025668685862,0.012805473339230855,8
39,4.01925253868103,0.009358404108620865,0.001699066162109375,0.0004399692144523499,50,,saga,"{'lr__C': 50, 'lr__penalty': None, 'lr__solver': 'saga'}",0.5631067961165048,0.574074074074074,0.5961538461538461,0.5825242718446602,0.5961538461538461,0.5824025668685862,0.012805473339230855,8
3,2.836762809753418,0.22871897474671257,0.0023375034332275392,0.001270137125979035,0.1,l2,saga,"{'lr__C': 0.1, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.5742574257425743,0.5576923076923077,0.5961538461538461,0.5882352941176471,0.5858585858585857,0.5804394919129922,0.013362143334940676,14
10,0.15446224212646484,0.00918795822619263,0.0018906116485595704,0.0008812711500169738,0.5,l2,liblinear,"{'lr__C': 0.5, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.5631067961165048,0.5607476635514018,0.5961538461538461,0.576923076923077,0.5882352941176471,0.5770333353724955,0.013785946260641715,15
18,0.16729507446289063,0.0010661039254817933,0.0022728443145751953,0.0019058723637478251,1,l2,liblinear,"{'lr__C': 1, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.5576923076923077,0.5471698113207547,0.5961538461538461,0.5714285714285713,0.5904761904761904,0.5725841454143341,0.018679650044053087,16
9,6.857493257522583,0.09027027868167213,0.004744100570678711,0.004202369468970512,0.5,l1,saga,"{'lr__C': 0.5, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.5454545454545455,0.5940594059405941,0.5625,0.574468085106383,0.5794392523364487,0.5711842577675942,0.016368477570902953,17
26,0.19694962501525878,0.0055557808594778645,0.0023808956146240236,0.0011609693392739978,10,l2,liblinear,"{'lr__C': 10, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.5384615384615384,0.5333333333333333,0.5961538461538461,0.5436893203883495,0.6037735849056605,0.5630823246485456,0.030386768195919404,18
34,0.1985811710357666,0.003382152660212841,0.0016444206237792968,0.0005706736907381182,50,l2,liblinear,"{'lr__C': 50, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.5436893203883495,0.5333333333333333,0.6153846153846154,0.5242718446601942,0.5904761904761904,0.5614310608485364,0.03532609402685801,19
17,7.267805480957032,0.09158601834526203,0.0020673274993896484,0.0004067809174716701,1,l1,saga,"{'lr__C': 1, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.5306122448979592,0.5656565656565656,0.5656565656565657,0.5567010309278351,0.5686274509803922,0.5574507716238636,0.01400326319670724,20
1,5.1769672393798825,0.6882753037818469,0.003516387939453125,0.002780837814596409,0.1,l1,saga,"{'lr__C': 0.1, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.5957446808510639,0.5833333333333334,0.5510204081632654,0.5,0.5346534653465347,0.5529503775388395,0.03434158021366528,21
16,0.08594865798950195,0.013023333383568815,0.002523374557495117,0.0012987415716482803,1,l1,liblinear,"{'lr__C': 1, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.5,0.5471698113207547,0.5684210526315789,0.5567010309278351,0.5607476635514018,0.5466079116863141,0.024290862148907934,22
32,0.07678756713867188,0.008993984254651194,0.0017395973205566405,0.0007357811445680114,50,l1,liblinear,"{'lr__C': 50, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.5242718446601942,0.5660377358490566,0.5306122448979591,0.5263157894736842,0.5765765765765766,0.5447628382914942,0.022023391806124205,23
8,0.07390623092651367,0.007369074274952408,0.0015993595123291015,0.0005887992952797103,0.5,l1,liblinear,"{'lr__C': 0.5, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.52,0.5384615384615384,0.5376344086021505,0.5416666666666667,0.5607476635514018,0.5397020554563515,0.012967361739624605,24
24,0.08669114112854004,0.006285711281281482,0.0022078990936279298,0.0010139056410806686,10,l1,liblinear,"{'lr__C': 10, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.495049504950495,0.5535714285714285,0.5656565656565657,0.536082474226804,0.537037037037037,0.5374794020884661,0.023897067303332548,25
36,0.007078981399536133,0.001770934563874102,0.0,0.0,50,elasticnet,liblinear,"{'lr__C': 50, 'lr__penalty': 'elasticnet', 'lr__solver': 'liblinear'}",,,,,,,,26
30,0.006793355941772461,0.001068598503815179,0.0,0.0,10,,liblinear,"{'lr__C': 10, 'lr__penalty': None, 'lr__solver': 'liblinear'}",,,,,,,,26
37,0.006811809539794922,0.0010080392719179043,0.0,0.0,50,elasticnet,saga,"{'lr__C': 50, 'lr__penalty': 'elasticnet', 'lr__solver': 'saga'}",,,,,,,,26
29,0.007991600036621093,0.0031867766268283038,0.0,0.0,10,elasticnet,saga,"{'lr__C': 10, 'lr__penalty': 'elasticnet', 'lr__solver': 'saga'}",,,,,,,,26
12,0.006162023544311524,0.0011207807682552383,0.0,0.0,0.5,elasticnet,liblinear,"{'lr__C': 0.5, 'lr__penalty': 'elasticnet', 'lr__solver': 'liblinear'}",,,,,,,,26
5,0.007909297943115234,0.0019223645530865858,0.0,0.0,0.1,elasticnet,saga,"{'lr__C': 0.1, 'lr__penalty': 'elasticnet', 'lr__solver': 'saga'}",,,,,,,,26
6,0.006416606903076172,0.0015343191054852932,0.0,0.0,0.1,,liblinear,"{'lr__C': 0.1, 'lr__penalty': None, 'lr__solver': 'liblinear'}",,,,,,,,26
22,0.006075382232666016,0.0007710340365707787,0.0,0.0,1,,liblinear,"{'lr__C': 1, 'lr__penalty': None, 'lr__solver': 'liblinear'}",,,,,,,,26
21,0.008616924285888672,0.003232356134690702,0.0,0.0,1,elasticnet,saga,"{'lr__C': 1, 'lr__penalty': 'elasticnet', 'lr__solver': 'saga'}",,,,,,,,26
20,0.005905580520629883,0.0009423280652595449,0.0,0.0,1,elasticnet,liblinear,"{'lr__C': 1, 'lr__penalty': 'elasticnet', 'lr__solver': 'liblinear'}",,,,,,,,26
38,0.006379175186157227,0.0009759159877096177,0.0,0.0,50,,liblinear,"{'lr__C': 50, 'lr__penalty': None, 'lr__solver': 'liblinear'}",,,,,,,,26
14,0.007232093811035156,0.002088909872051428,0.0,0.0,0.5,,liblinear,"{'lr__C': 0.5, 'lr__penalty': None, 'lr__solver': 'liblinear'}",,,,,,,,26
13,0.010290050506591797,0.004987095176403413,0.0,0.0,0.5,elasticnet,saga,"{'lr__C': 0.5, 'lr__penalty': 'elasticnet', 'lr__solver': 'saga'}",,,,,,,,26
28,0.006646013259887696,0.0012732168479173012,0.0,0.0,10,elasticnet,liblinear,"{'lr__C': 10, 'lr__penalty': 'elasticnet', 'lr__solver': 'liblinear'}",,,,,,,,26
4,0.006329965591430664,0.0010903460933310862,0.0,0.0,0.1,elasticnet,liblinear,"{'lr__C': 0.1, 'lr__penalty': 'elasticnet', 'lr__solver': 'liblinear'}",,,,,,,,26
