,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_decision_function_shape,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
245,0.09254398345947265,0.0009023999108457655,0.02271237373352051,0.00021964527404687718,10,ovr,10,scale,poly,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 10, 'gamma': 'scale', 'kernel': 'poly'}",0.5747126436781609,0.5747126436781609,0.5862068965517241,0.5813953488372093,0.5780346820809249,0.579012442965236,0.004367401217382449,165
157,0.09205222129821777,0.00033884291375553993,0.02280259132385254,0.00026219054938173545,1,ovo,20,scale,poly,"{'C': 1, 'decision_function_shape': 'ovo', 'degree': 20, 'gamma': 'scale', 'kernel': 'poly'}",0.5747126436781609,0.5747126436781609,0.5862068965517241,0.5780346820809249,0.5780346820809249,0.5783403096139791,0.004204519632747916,167
221,0.09342808723449707,0.0003886026950884066,0.022855472564697266,0.0002610892413759419,10,ovo,20,scale,poly,"{'C': 10, 'decision_function_shape': 'ovo', 'degree': 20, 'gamma': 'scale', 'kernel': 'poly'}",0.5747126436781609,0.5747126436781609,0.5862068965517241,0.5780346820809249,0.5780346820809249,0.5783403096139791,0.004204519632747916,167
189,0.09310836791992187,0.0015229470905961076,0.022809600830078124,0.0002477261786610754,1,ovr,20,scale,poly,"{'C': 1, 'decision_function_shape': 'ovr', 'degree': 20, 'gamma': 'scale', 'kernel': 'poly'}",0.5747126436781609,0.5747126436781609,0.5862068965517241,0.5780346820809249,0.5780346820809249,0.5783403096139791,0.004204519632747916,167
253,0.09189529418945312,0.0005150345141878057,0.02271275520324707,0.0002040164596262749,10,ovr,20,scale,poly,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 20, 'gamma': 'scale', 'kernel': 'poly'}",0.5747126436781609,0.5747126436781609,0.5862068965517241,0.5780346820809249,0.5780346820809249,0.5783403096139791,0.004204519632747916,167
285,0.09134511947631836,0.00037448977481644894,0.022577476501464844,7.115512920991141e-05,50,ovo,20,scale,poly,"{'C': 50, 'decision_function_shape': 'ovo', 'degree': 20, 'gamma': 'scale', 'kernel': 'poly'}",0.5747126436781609,0.5747126436781609,0.5862068965517241,0.5780346820809249,0.5780346820809249,0.5783403096139791,0.004204519632747916,167
317,0.0914271354675293,0.00031689197699929193,0.02259521484375,6.702495421495396e-05,50,ovr,20,scale,poly,"{'C': 50, 'decision_function_shape': 'ovr', 'degree': 20, 'gamma': 'scale', 'kernel': 'poly'}",0.5747126436781609,0.5747126436781609,0.5862068965517241,0.5780346820809249,0.5780346820809249,0.5783403096139791,0.004204519632747916,167
309,0.09437699317932129,0.0014975147546233115,0.023044490814208986,0.00041621584595900575,50,ovr,10,scale,poly,"{'C': 50, 'decision_function_shape': 'ovr', 'degree': 10, 'gamma': 'scale', 'kernel': 'poly'}",0.5747126436781609,0.5747126436781609,0.5862068965517241,0.5697674418604652,0.5780346820809249,0.5766868615698872,0.005442814122648939,173
277,0.09300060272216797,0.0007905851571611879,0.02281365394592285,0.0004584893941056536,50,ovo,10,scale,poly,"{'C': 50, 'decision_function_shape': 'ovo', 'degree': 10, 'gamma': 'scale', 'kernel': 'poly'}",0.5747126436781609,0.5747126436781609,0.5862068965517241,0.5697674418604652,0.5780346820809249,0.5766868615698872,0.005442814122648939,173
223,0.05858287811279297,0.0047561187618788,0.012800455093383789,0.0007535897547883275,10,ovo,20,scale,sigmoid,"{'C': 10, 'decision_function_shape': 'ovo', 'degree': 20, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5925925925925927,0.5510204081632654,0.5098039215686274,0.5306122448979592,0.6476190476190475,0.5663296429682985,0.048995861470996466,175
247,0.057004547119140624,0.004431746703717003,0.012278032302856446,0.0008019388069118077,10,ovr,10,scale,sigmoid,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 10, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5925925925925927,0.5510204081632654,0.5098039215686274,0.5306122448979592,0.6476190476190475,0.5663296429682985,0.048995861470996466,175
207,0.058312606811523435,0.004253885020353154,0.012580251693725586,0.0008889986627780619,10,ovo,5,scale,sigmoid,"{'C': 10, 'decision_function_shape': 'ovo', 'degree': 5, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5925925925925927,0.5510204081632654,0.5098039215686274,0.5306122448979592,0.6476190476190475,0.5663296429682985,0.048995861470996466,175
