,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
23,0.7035166263580322,0.3193246511288301,0.0020743370056152343,9.24761221160282e-05,relu,0.01,"(50,)",adaptive,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive'}",0.4222222222222222,0.5142857142857142,0.4210526315789474,0.3888888888888889,0.36956521739130443,0.4232029348734154,0.04971140069551622,16
22,0.6811964035034179,0.30794364424407816,0.0016531944274902344,0.00044079815747415855,relu,0.01,"(50,)",invscaling,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate': 'invscaling'}",0.4222222222222222,0.5142857142857142,0.4210526315789474,0.3888888888888889,0.36956521739130443,0.4232029348734154,0.04971140069551622,16
21,0.7178096294403076,0.32587733397104013,0.0017611980438232422,0.0004939225813936242,relu,0.01,"(50,)",constant,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant'}",0.4222222222222222,0.5142857142857142,0.4210526315789474,0.3888888888888889,0.36956521739130443,0.4232029348734154,0.04971140069551622,16
25,0.922123908996582,0.41707786713540906,0.0012744903564453126,6.773011511844573e-05,relu,0.01,"(50, 10)",invscaling,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'invscaling'}",0.5747126436781609,0.0,0.13114754098360654,0.0,0.0,0.14117203693235347,0.22264167635527657,19
24,0.9078816890716552,0.4050004012111238,0.001488494873046875,0.00048671809340727575,relu,0.01,"(50, 10)",constant,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'constant'}",0.5747126436781609,0.0,0.13114754098360654,0.0,0.0,0.14117203693235347,0.22264167635527657,19
26,0.891713809967041,0.40504334404424175,0.004464244842529297,0.006453833172240024,relu,0.01,"(50, 10)",adaptive,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'adaptive'}",0.5747126436781609,0.0,0.13114754098360654,0.0,0.0,0.14117203693235347,0.22264167635527657,19
8,1.4211140155792237,0.157976320650016,0.00634613037109375,0.010072948065460602,relu,1e-06,"(50, 10)",adaptive,"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'adaptive'}",0.0,0.0,0.10169491525423728,0.0,0.0,0.020338983050847456,0.04067796610169491,22
7,1.3497187614440918,0.14993925496353064,0.0015554428100585938,0.00033859135197550393,relu,1e-06,"(50, 10)",invscaling,"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'invscaling'}",0.0,0.0,0.10169491525423728,0.0,0.0,0.020338983050847456,0.04067796610169491,22
6,1.3195727825164796,0.09635888232100312,0.0027193546295166014,0.0020986839453919974,relu,1e-06,"(50, 10)",constant,"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'constant'}",0.0,0.0,0.10169491525423728,0.0,0.0,0.020338983050847456,0.04067796610169491,22
16,1.2627729415893554,0.0815947461528084,0.0017003059387207032,0.0005580827134959359,relu,0.0001,"(50, 10)",invscaling,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'invscaling'}",0.0,0.0,0.1,0.0,0.0,0.02,0.04,25
15,1.3104002952575684,0.1506223191436346,0.001363229751586914,3.9278011917571536e-05,relu,0.0001,"(50, 10)",constant,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'constant'}",0.0,0.0,0.1,0.0,0.0,0.02,0.04,25
17,1.1887109279632568,0.04439126585624891,0.0015452384948730468,0.0005023082700286283,relu,0.0001,"(50, 10)",adaptive,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'adaptive'}",0.0,0.0,0.1,0.0,0.0,0.02,0.04,25
41,0.000607442855834961,1.3262074984796222e-05,0.0,0.0,linear,0.0001,"(50,)",adaptive,"{'activation': 'linear', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive'}",,,,,,,,28
42,0.0005928516387939453,5.947289210383936e-06,0.0,0.0,linear,0.0001,"(50, 10)",constant,"{'activation': 'linear', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'constant'}",,,,,,,,28
43,0.0005916118621826172,6.196314939973932e-06,0.0,0.0,linear,0.0001,"(50, 10)",invscaling,"{'activation': 'linear', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'invscaling'}",,,,,,,,28
44,0.0007363796234130859,0.00017067557304255057,0.0,0.0,linear,0.0001,"(50, 10)",adaptive,"{'activation': 'linear', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'adaptive'}",,,,,,,,28
45,0.0008976459503173828,6.730468231200875e-05,0.0,0.0,linear,0.01,"(100,)",constant,"{'activation': 'linear', 'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}",,,,,,,,28
48,0.0005975246429443359,6.250751345891548e-06,0.0,0.0,linear,0.01,"(50,)",constant,"{'activation': 'linear', 'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant'}",,,,,,,,28
47,0.0005972862243652343,8.494395927030672e-06,0.0,0.0,linear,0.01,"(100,)",adaptive,"{'activation': 'linear', 'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive'}",,,,,,,,28
49,0.0005930423736572266,5.224795065235998e-06,0.0,0.0,linear,0.01,"(50,)",invscaling,"{'activation': 'linear', 'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate': 'invscaling'}",,,,,,,,28
50,0.0006979942321777344,0.00020318823040010962,0.0,0.0,linear,0.01,"(50,)",adaptive,"{'activation': 'linear', 'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive'}",,,,,,,,28
51,0.0010621070861816407,0.00015391572240031174,0.0,0.0,linear,0.01,"(50, 10)",constant,"{'activation': 'linear', 'alpha': 0.01, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'constant'}",,,,,,,,28
46,0.0006104946136474609,1.7716666277896758e-05,0.0,0.0,linear,0.01,"(100,)",invscaling,"{'activation': 'linear', 'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling'}",,,,,,,,28
40,0.0008481502532958985,9.517359107383878e-05,0.0,0.0,linear,0.0001,"(50,)",invscaling,"{'activation': 'linear', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'invscaling'}",,,,,,,,28
37,0.0006015777587890625,4.781228851358462e-06,0.0,0.0,linear,0.0001,"(100,)",invscaling,"{'activation': 'linear', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling'}",,,,,,,,28
38,0.0005959033966064453,6.410933284095119e-06,0.0,0.0,linear,0.0001,"(100,)",adaptive,"{'activation': 'linear', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive'}",,,,,,,,28
36,0.0006012439727783204,7.203871714790824e-06,0.0,0.0,linear,0.0001,"(100,)",constant,"{'activation': 'linear', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}",,,,,,,,28
35,0.0007312774658203125,0.00010421705629847412,0.0,0.0,linear,1e-06,"(50, 10)",adaptive,"{'activation': 'linear', 'alpha': 1e-06, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'adaptive'}",,,,,,,,28
34,0.000986194610595703,0.0001131837657972107,0.0,0.0,linear,1e-06,"(50, 10)",invscaling,"{'activation': 'linear', 'alpha': 1e-06, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'invscaling'}",,,,,,,,28
33,0.0005122184753417969,3.2815266674204355e-06,0.0,0.0,linear,1e-06,"(50, 10)",constant,"{'activation': 'linear', 'alpha': 1e-06, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'constant'}",,,,,,,,28
32,0.0005185604095458984,4.869812557863917e-06,0.0,0.0,linear,1e-06,"(50,)",adaptive,"{'activation': 'linear', 'alpha': 1e-06, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive'}",,,,,,,,28
31,0.0005228996276855468,5.118841896179063e-06,0.0,0.0,linear,1e-06,"(50,)",invscaling,"{'activation': 'linear', 'alpha': 1e-06, 'hidden_layer_sizes': (50,), 'learning_rate': 'invscaling'}",,,,,,,,28
30,0.0005802631378173829,7.79956637854186e-05,0.0,0.0,linear,1e-06,"(50,)",constant,"{'activation': 'linear', 'alpha': 1e-06, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant'}",,,,,,,,28
29,0.0008302211761474609,3.664002574871493e-05,0.0,0.0,linear,1e-06,"(100,)",adaptive,"{'activation': 'linear', 'alpha': 1e-06, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive'}",,,,,,,,28
28,0.0007325649261474609,0.00019130321700384025,0.0,0.0,linear,1e-06,"(100,)",invscaling,"{'activation': 'linear', 'alpha': 1e-06, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling'}",,,,,,,,28
27,0.0006112098693847656,8.982852733618463e-05,0.0,0.0,linear,1e-06,"(100,)",constant,"{'activation': 'linear', 'alpha': 1e-06, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}",,,,,,,,28
52,0.0006083011627197266,1.1356935816140189e-05,0.0,0.0,linear,0.01,"(50, 10)",invscaling,"{'activation': 'linear', 'alpha': 0.01, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'invscaling'}",,,,,,,,28
39,0.0008471012115478516,0.0002090447249192472,0.0,0.0,linear,0.0001,"(50,)",constant,"{'activation': 'linear', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant'}",,,,,,,,28
53,0.0005907535552978516,3.950560603562924e-06,0.0,0.0,linear,0.01,"(50, 10)",adaptive,"{'activation': 'linear', 'alpha': 0.01, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'adaptive'}",,,,,,,,28
