,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__alpha,param_mlp__hidden_layer_sizes,param_mlp__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
22,0.4839941501617432,0.03007652120049175,0.0015667915344238282,8.570563955667915e-05,relu,0.01,"(50,)",invscaling,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'invscaling'}",0.6785714285714285,0.6153846153846153,0.54,0.6595744680851063,0.7184466019417476,0.6423954227965796,0.06099510007689814,25
23,0.6202403545379639,0.08386325091709515,0.0032129287719726562,0.0010274569373019018,relu,0.01,"(50,)",adaptive,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'adaptive'}",0.6785714285714285,0.6153846153846153,0.54,0.6595744680851063,0.7184466019417476,0.6423954227965796,0.06099510007689814,25
42,0.005275106430053711,5.14154737661117e-05,0.0,0.0,linear,0.0001,"(50, 10)",constant,"{'mlp__activation': 'linear', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'constant'}",,,,,,,,28
43,0.005289220809936523,6.042819423031107e-05,0.0,0.0,linear,0.0001,"(50, 10)",invscaling,"{'mlp__activation': 'linear', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'invscaling'}",,,,,,,,28
44,0.005271196365356445,3.592960867719678e-05,0.0,0.0,linear,0.0001,"(50, 10)",adaptive,"{'mlp__activation': 'linear', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'adaptive'}",,,,,,,,28
45,0.005324220657348633,4.588615642827305e-05,0.0,0.0,linear,0.01,"(100,)",constant,"{'mlp__activation': 'linear', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'constant'}",,,,,,,,28
48,0.0052699089050292965,4.521930014586153e-05,0.0,0.0,linear,0.01,"(50,)",constant,"{'mlp__activation': 'linear', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'constant'}",,,,,,,,28
47,0.005297040939331055,8.171291686987956e-05,0.0,0.0,linear,0.01,"(100,)",adaptive,"{'mlp__activation': 'linear', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'adaptive'}",,,,,,,,28
49,0.005234527587890625,5.4441649189312594e-05,0.0,0.0,linear,0.01,"(50,)",invscaling,"{'mlp__activation': 'linear', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'invscaling'}",,,,,,,,28
50,0.005266618728637695,5.7725150895732846e-05,0.0,0.0,linear,0.01,"(50,)",adaptive,"{'mlp__activation': 'linear', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'adaptive'}",,,,,,,,28
