,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__penalty,param_lr__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
26,0.037713813781738284,0.0025837306086363867,0.001898193359375,0.0009906464918350477,10,l2,liblinear,"{'lr__C': 10, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.36363636363636365,0.36585365853658536,0.2571428571428572,0.3116883116883117,0.2647058823529412,0.3126054146714118,0.046499107064128804,11
33,2.911622714996338,0.047525509965005826,0.0015279769897460938,0.00035718195135835346,50,l1,saga,"{'lr__C': 50, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.36363636363636365,0.4146341463414634,0.2608695652173913,0.25,0.24242424242424243,0.3063128635238922,0.06976743056991207,12
2,0.03297290802001953,0.0037623691224156373,0.004427671432495117,0.0015038985040976287,0.1,l2,liblinear,"{'lr__C': 0.1, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.36363636363636365,0.39024390243902435,0.2647058823529412,0.24324324324324328,0.2647058823529412,0.3053070548049027,0.0596077234413242,13
35,1.7789623737335205,0.010002628226068008,0.0011623382568359375,0.0001400962177717225,50,l2,saga,"{'lr__C': 50, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.36363636363636365,0.39024390243902435,0.2608695652173913,0.2465753424657534,0.2647058823529412,0.30520621122229474,0.059479551489969834,14
31,1.77975435256958,0.009321793460213754,0.002971982955932617,0.002148535159652187,10,,saga,"{'lr__C': 10, 'lr__penalty': None, 'lr__solver': 'saga'}",0.36363636363636365,0.39024390243902435,0.2608695652173913,0.2465753424657534,0.2647058823529412,0.30520621122229474,0.059479551489969834,14
23,1.8130433082580566,0.010442769117382598,0.003473043441772461,0.002166200029344444,1,,saga,"{'lr__C': 1, 'lr__penalty': None, 'lr__solver': 'saga'}",0.36363636363636365,0.39024390243902435,0.2608695652173913,0.2465753424657534,0.2647058823529412,0.30520621122229474,0.059479551489969834,14
39,1.7732136726379395,0.0037206208219893668,0.002706766128540039,0.0020644024887371605,50,,saga,"{'lr__C': 50, 'lr__penalty': None, 'lr__solver': 'saga'}",0.36363636363636365,0.39024390243902435,0.2608695652173913,0.2465753424657534,0.2647058823529412,0.30520621122229474,0.059479551489969834,14
10,0.0421259880065918,0.004953075020301307,0.004253768920898437,0.0019040752789742821,0.5,l2,liblinear,"{'lr__C': 0.5, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.36363636363636365,0.39024390243902435,0.2608695652173913,0.2465753424657534,0.2647058823529412,0.30520621122229474,0.059479551489969834,14
15,1.8158536911010743,0.013202955567936372,0.00854339599609375,0.005655493098532538,0.5,,saga,"{'lr__C': 0.5, 'lr__penalty': None, 'lr__solver': 'saga'}",0.36363636363636365,0.39024390243902435,0.2608695652173913,0.2465753424657534,0.2647058823529412,0.30520621122229474,0.059479551489969834,14
7,1.8186217308044434,0.026187864504913793,0.013141059875488281,0.0010468826464674955,0.1,,saga,"{'lr__C': 0.1, 'lr__penalty': None, 'lr__solver': 'saga'}",0.36363636363636365,0.39024390243902435,0.2608695652173913,0.2465753424657534,0.2647058823529412,0.30520621122229474,0.059479551489969834,14
27,1.8110881805419923,0.03898172082174056,0.0073760032653808595,0.004664045266856362,10,l2,saga,"{'lr__C': 10, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.36363636363636365,0.37037037037037035,0.2647058823529412,0.2465753424657534,0.26865671641791045,0.3027889350486678,0.05299991548717301,21
18,0.034273815155029294,0.0031714614877142175,0.002261972427368164,0.000895428662292873,1,l2,liblinear,"{'lr__C': 1, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.36363636363636365,0.37037037037037035,0.2571428571428572,0.2465753424657534,0.2647058823529412,0.3004861631936572,0.054657108406284675,22
19,1.0149617195129395,0.009368434546697564,0.008779287338256836,0.00560540966647091,1,l2,saga,"{'lr__C': 1, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.3835616438356165,0.37037037037037035,0.2647058823529412,0.25,0.2222222222222222,0.2981720237562301,0.06589823566282847,23
11,0.7525583744049072,0.01307016926708274,0.01122145652770996,0.002814733177695868,0.5,l2,saga,"{'lr__C': 0.5, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.3888888888888889,0.35443037974683544,0.2647058823529412,0.25,0.22580645161290325,0.29676632052031376,0.06334346810074758,24
3,0.4090846061706543,0.019502935788186168,0.012896871566772461,0.0027754112473505504,0.1,l2,saga,"{'lr__C': 0.1, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.3943661971830986,0.36363636363636365,0.24615384615384614,0.24242424242424243,0.22950819672131148,0.29521776922377246,0.06931621421514719,25
37,0.00416412353515625,0.0013411838007903688,0.0,0.0,50,elasticnet,saga,"{'lr__C': 50, 'lr__penalty': 'elasticnet', 'lr__solver': 'saga'}",,,,,,,,26
36,0.002651834487915039,0.0004563451334898297,0.0,0.0,50,elasticnet,liblinear,"{'lr__C': 50, 'lr__penalty': 'elasticnet', 'lr__solver': 'liblinear'}",,,,,,,,26
4,0.006333255767822265,0.0007380479712064374,0.0,0.0,0.1,elasticnet,liblinear,"{'lr__C': 0.1, 'lr__penalty': 'elasticnet', 'lr__solver': 'liblinear'}",,,,,,,,26
5,0.006453800201416016,0.0017228469362181493,0.0,0.0,0.1,elasticnet,saga,"{'lr__C': 0.1, 'lr__penalty': 'elasticnet', 'lr__solver': 'saga'}",,,,,,,,26
6,0.004619407653808594,0.0009150993991092651,0.0,0.0,0.1,,liblinear,"{'lr__C': 0.1, 'lr__penalty': None, 'lr__solver': 'liblinear'}",,,,,,,,26
14,0.0041636466979980465,0.001259651548486015,0.0,0.0,0.5,,liblinear,"{'lr__C': 0.5, 'lr__penalty': None, 'lr__solver': 'liblinear'}",,,,,,,,26
29,0.005094337463378906,0.00397621211687305,0.0,0.0,10,elasticnet,saga,"{'lr__C': 10, 'lr__penalty': 'elasticnet', 'lr__solver': 'saga'}",,,,,,,,26
12,0.0044978618621826175,0.0012720266494330233,0.0,0.0,0.5,elasticnet,liblinear,"{'lr__C': 0.5, 'lr__penalty': 'elasticnet', 'lr__solver': 'liblinear'}",,,,,,,,26
13,0.004786539077758789,0.0013009135494517284,0.0,0.0,0.5,elasticnet,saga,"{'lr__C': 0.5, 'lr__penalty': 'elasticnet', 'lr__solver': 'saga'}",,,,,,,,26
22,0.0068893909454345705,0.0032765959593337437,0.0,0.0,1,,liblinear,"{'lr__C': 1, 'lr__penalty': None, 'lr__solver': 'liblinear'}",,,,,,,,26
21,0.006166601181030273,0.002073522172217181,0.0,0.0,1,elasticnet,saga,"{'lr__C': 1, 'lr__penalty': 'elasticnet', 'lr__solver': 'saga'}",,,,,,,,26
20,0.004763412475585938,0.0016655475767195246,0.0,0.0,1,elasticnet,liblinear,"{'lr__C': 1, 'lr__penalty': 'elasticnet', 'lr__solver': 'liblinear'}",,,,,,,,26
38,0.0042950153350830075,0.0019028250852256442,0.0,0.0,50,,liblinear,"{'lr__C': 50, 'lr__penalty': None, 'lr__solver': 'liblinear'}",,,,,,,,26
30,0.0033978939056396483,0.0008537508711023966,0.0,0.0,10,,liblinear,"{'lr__C': 10, 'lr__penalty': None, 'lr__solver': 'liblinear'}",,,,,,,,26
28,0.003541231155395508,0.0013044616789648536,0.0,0.0,10,elasticnet,liblinear,"{'lr__C': 10, 'lr__penalty': 'elasticnet', 'lr__solver': 'liblinear'}",,,,,,,,26
