strain_slug,strain_category,strain_popularity
jack-haze,Hybrid,0.0116205605568599
green-monster,Hybrid,0.0036141819395741
hawaiian,Sativa,0.0403657221052747
lemon-jack,Sativa,0.0159548199668378
grape-krush,Indica,0.0061192790396759
edelweiss,Indica,0.0019726260204546
cadillac-purple,Indica,0.0046404992537128
black-velvet,Hybrid,0.0011504686021392
jack-widow,Hybrid,0.000816639583293
hawaiian-haze,Sativa,0.0297438896874422
jane-doe,Hybrid,0.002665114315747
outer-space,Sativa,0.0262097163556906
dopium,Hybrid,0.0035948695169963
ace-of-spades,Indica,0.013604222247359
matsu,Indica,0.0004055608741354
snow-white,Hybrid,0.0170914939814214
purple-og-kush,Indica,0.0386165684032213
blue-ivy,Hybrid,0.0017739839596535
popcorn-kush,Indica,0.0122330402443297
wonka-s-bubbilicious,Hybrid,0.0010980491694278
godfather-og,Indica,0.049837085920968
gumbo,Indica,0.0107266712832553
la-og,Indica,0.0081581190803976
snoop-s-dream,Hybrid,0.0194862343810782
trifecta,Hybrid,0.0012525485500509
apollo-13,Hybrid,0.0119626663282394
thai-haze,Sativa,0.0015587883937858
raskal-og,Hybrid,0.0192131015474768
the-white,Hybrid,0.0643351974419316
dutch-hawaiian,Sativa,0.0433260405947122
rainbow,Hybrid,0.0612010671492933
white-dawg,Hybrid,0.009686559381561
grand-hustle,Hybrid,0.0005710959248029
og-diesel-kush,Hybrid,0.0079870661947078
zombie-og,Indica,0.0200656070584145
cali-kush,Hybrid,0.0480686197963367
jesus-og,Indica,0.0231004163206524
millennium,Hybrid,0.0004359089667578
black-mamba,Indica,0.0698447557116489
q3,Sativa,0.0
holy-grail-kush,Hybrid,0.0562460512993122
space-dawg,Indica,0.002532686275213
cali-gold,Hybrid,0.0085140194393327
sour-tsunami,Hybrid,0.0306626092186469
liberty-haze,Hybrid,0.032602128228968
glass-slipper,Hybrid,0.0095789615986271
cinex,Sativa,0.0257213879562214
presidential-og,Indica,0.0371653777923693
verde-electric,Hybrid,0.0012801377251621
master-jedi,Indica,0.0021022951434775
goldberry,Indica,0.002334044214412
afghan-skunk,Indica,0.0064337956359442
black-tuna,Hybrid,0.0207194705085512
humboldt,Hybrid,0.0099458976276068
duke-nukem,Hybrid,0.0117502296798828
wonder-woman,Hybrid,0.0134524817842471
blue-boy,Hybrid,0.0026513197281914
tangie,Sativa,0.1719026322831973
3-kings,Hybrid,0.030268084014556
alien-walker,Hybrid,0.0032665583331723
amnesia,Sativa,0.0839317885234549
super-sour-widow,Hybrid,0.0023974993171679
animal-cookies,Hybrid,0.1770700847815351
ghost-og,Hybrid,0.1024496428581282
jr,Indica,0.0503805926706597
platinum-gsc,Hybrid,0.1725068352181338
dark-star,Indica,0.0222092859645589
albert-walker,Hybrid,0.004844659149536
stevie-wonder,Hybrid,0.0086216172222666
thin-mint,Hybrid,0.1435713083614513
confidential-cheese,Indica,0.0024802668425016
pink-kush,Hybrid,0.1051616587715644
quebec-gold,Hybrid,0.0022650712766339
blue-magoo,Hybrid,0.0244936696637707
