,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,name,param_knn__n_neighbors,param_knn__weights,param_C,param_penalty,param_solver,param_lr__C,param_lr__penalty,param_lr__solver,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_mlp__activation,param_mlp__alpha,param_mlp__hidden_layer_sizes,param_mlp__learning_rate,param_max_features,param_min_samples_split,param_n_estimators,param_rf__max_features,param_rf__min_samples_split,param_rf__n_estimators,param_decision_function_shape,param_degree,param_gamma,param_kernel,param_svc__C,param_svc__decision_function_shape,param_svc__degree,param_svc__gamma,param_svc__kernel,model,norm_data,SS,Name,train_acc,val_acc,test_acc,train_f1,val_f1,test_f1,mean_val_test_acc,mean_val_test_f1
80,0.2262465000152587,0.002101002237624,0.0515495300292968,0.0009611197183898,,,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.6569343065693432,0.7067669172932332,0.6122448979591837,0.7142857142857143,0.7058823529411763,0.67922283780973,0.039196005969702,1,svc_standard_scaler_param_tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,ovr,3.0,scale,poly,svc,False,True,SVC_SS,0.9692556634304207,0.6935483870967742,0.9692556634304207,0.963531669865643,0.6833333333333333,0.963531669865643,0.8314020252635974,0.8234325015994881
26,0.6939868927001953,0.0121425526539653,0.0078754901885986,0.0002302460644198,,,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 150}",0.6000000000000001,0.6428571428571429,0.5168539325842696,0.6190476190476191,0.7311827956989247,0.6219882980375913,0.0691437844587611,7,rf_param_tuning,,,,,,,,,,,,,,,,,sqrt,2.0,150.0,,,,,,,,,,,,,rf,False,False,RF,1.0,0.7016129032258065,1.0,1.0,0.6407766990291262,1.0,0.8508064516129032,0.8203883495145631
89,0.8817417621612549,0.0305221077608415,0.0092223644256591,0.0004227237813681,,,"{'rf__max_features': 'sqrt', 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",0.6666666666666666,0.7524752475247525,0.8041237113402062,0.7999999999999999,0.8000000000000002,0.7646531251063251,0.052547839245935,9,rf_standard_scaler_param_tuning,,,,,,,,,,,,,,,,,,,,sqrt,2.0,150.0,,,,,,,,,,rf,False,True,RF_SS,1.0,0.7016129032258065,1.0,1.0,0.6407766990291262,1.0,0.8508064516129032,0.8203883495145631
50,0.0093264579772949,0.0006438297795113,0.0065674781799316,0.0002644842538275,,,"{'knn__n_neighbors': 5, 'knn__weights': 'distance'}",0.6461538461538462,0.6511627906976744,0.6280991735537191,0.7222222222222223,0.6495726495726495,0.6594421364400224,0.032453824085888,3,knn_standard_scaler_param_tuning,5.0,distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,knn,False,True,KNN_SS,1.0,0.5806451612903226,1.0,1.0,0.6285714285714286,1.0,0.7903225806451613,0.8142857142857143
57,0.220475435256958,0.0017560526054872,0.0520512104034423,0.0012810861860203,,,"{'C': 10, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.6393442622950819,0.6949152542372881,0.6153846153846154,0.6722689075630253,0.711864406779661,0.6667554892519343,0.0353511714974164,3,svc_norm_param_tuning,,,10.0,,,,,,,,,,,,,,,,,,,,ovo,3.0,scale,poly,,,,,,svc,True,False,SVC_ND,1.0,0.6048387096774194,1.0,1.0,0.6259541984732824,1.0,0.8024193548387097,0.8129770992366412
58,0.220633316040039,0.0005811403132494,0.051716661453247,0.0004426964651343,,,"{'C': 10, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.6393442622950819,0.6949152542372881,0.6153846153846154,0.6722689075630253,0.711864406779661,0.6667554892519343,0.0353511714974164,3,svc_norm_param_tuning,,,10.0,,,,,,,,,,,,,,,,,,,,ovr,3.0,scale,poly,,,,,,svc,True,False,SVC_ND,1.0,0.6048387096774194,1.0,1.0,0.6259541984732824,1.0,0.8024193548387097,0.8129770992366412
73,0.2272761821746826,0.000556652958842,0.0548247814178466,0.0004520481245966,,,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.6766917293233082,0.6349206349206348,0.6521739130434783,0.7142857142857143,0.7031249999999999,0.6762393983146271,0.0298561555798543,1,svc_norm_standard_scaler_param_tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,ovo,3.0,scale,poly,svc,True,True,SVC_SS_ND,1.0,0.6048387096774194,1.0,1.0,0.6259541984732824,1.0,0.8024193548387097,0.8129770992366412
75,0.2284396171569824,0.0025950126734475,0.0553021907806396,0.0008462971304906,,,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.6766917293233082,0.6349206349206348,0.6521739130434783,0.7142857142857143,0.7031249999999999,0.6762393983146271,0.0298561555798543,1,svc_norm_standard_scaler_param_tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,ovr,3.0,scale,poly,svc,True,True,SVC_SS_ND,1.0,0.6048387096774194,1.0,1.0,0.6259541984732824,1.0,0.8024193548387097,0.8129770992366412
63,0.0071946144104003,0.0007207524266575,0.0063371658325195,0.0001475508617303,,,"{'knn__n_neighbors': 10, 'knn__weights': 'distance'}",0.6301369863013699,0.6394557823129251,0.6619718309859155,0.6814814814814815,0.7360000000000001,0.6698092162163385,0.0376141011263604,1,knn_norm_standard_scaler_param_tuning,10.0,distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,knn,True,True,KNN_SS_ND,1.0,0.5645161290322581,1.0,1.0,0.625,1.0,0.782258064516129,0.8125
39,0.0012662887573242,7.422218125616738e-05,0.0050157070159912,0.0001116797619767,10.0,distance,"{'n_neighbors': 10, 'weights': 'distance'}",0.619718309859155,0.5986394557823129,0.593103448275862,0.6762589928057553,0.6984126984126985,0.6372265810271568,0.0424490913158651,1,knn_norm_param_tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,knn,True,False,KNN_ND,1.0,0.5645161290322581,1.0,1.0,0.625,1.0,0.782258064516129,0.8125
35,0.0011629104614257,6.492267054696257e-05,0.004788589477539,4.187146157213941e-05,5.0,distance,"{'n_neighbors': 5, 'weights': 'distance'}",0.6099290780141844,0.6438356164383562,0.6197183098591549,0.6187050359712231,0.6825396825396826,0.6349455445645203,0.0263274827597553,2,knn_norm_param_tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,knn,True,False,KNN_ND,1.0,0.5725806451612904,1.0,1.0,0.6241134751773051,1.0,0.7862903225806452,0.8120567375886525
45,0.5295767307281494,0.0827008227324464,0.0018363952636718,0.0004449787182446,,,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'constant'}",0.6534653465346535,0.6250000000000001,0.6336633663366336,0.6382978723404256,0.7184466019417476,0.6537746374306921,0.0336289515046882,1,mlp_norm_standard_scaler_param_tuning,,,,,,,,,,,,,relu,0.0001,"(50, 10)",constant,,,,,,,,,,,,,,,,mlp,True,True,MLP_SS_ND,1.0,0.6774193548387096,1.0,1.0,0.6226415094339622,1.0,0.8387096774193548,0.8113207547169812
18,0.5767776012420655,0.0935580185583168,0.0015908241271972,0.0008779109848227,,,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'constant'}",0.5714285714285714,0.5625000000000001,0.5806451612903226,0.5934065934065934,0.5918367346938774,0.579963412163873,0.0118319395069432,1,mlp_norm_param_tuning,,,,,,,,,relu,0.0001,"(50, 10)",constant,,,,,,,,,,,,,,,,,,,,mlp,True,False,MLP_ND,1.0,0.6774193548387096,1.0,1.0,0.6226415094339622,1.0,0.8387096774193548,0.8113207547169812
16,0.6201070308685303,0.0755064719918836,0.0025427341461181,0.0024058955167324,,,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'adaptive'}",0.5714285714285714,0.5625000000000001,0.5806451612903226,0.5934065934065934,0.5918367346938774,0.579963412163873,0.0118319395069432,1,mlp_norm_param_tuning,,,,,,,,,relu,0.0001,"(50, 10)",adaptive,,,,,,,,,,,,,,,,,,,,mlp,True,False,MLP_ND,1.0,0.6774193548387096,1.0,1.0,0.6226415094339622,1.0,0.8387096774193548,0.8113207547169812
44,0.533868408203125,0.0576355182696786,0.001678991317749,0.0002993653176003,,,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'invscaling'}",0.6534653465346535,0.6250000000000001,0.6336633663366336,0.6382978723404256,0.7184466019417476,0.6537746374306921,0.0336289515046882,1,mlp_norm_standard_scaler_param_tuning,,,,,,,,,,,,,relu,0.0001,"(50, 10)",invscaling,,,,,,,,,,,,,,,,mlp,True,True,MLP_SS_ND,1.0,0.6774193548387096,1.0,1.0,0.6226415094339622,1.0,0.8387096774193548,0.8113207547169812
43,0.5346746444702148,0.0673789984830433,0.0020968437194824,0.0004822172255505,,,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 10), 'mlp__learning_rate': 'adaptive'}",0.6534653465346535,0.6250000000000001,0.6336633663366336,0.6382978723404256,0.7184466019417476,0.6537746374306921,0.0336289515046882,1,mlp_norm_standard_scaler_param_tuning,,,,,,,,,,,,,relu,0.0001,"(50, 10)",adaptive,,,,,,,,,,,,,,,,mlp,True,True,MLP_SS_ND,1.0,0.6774193548387096,1.0,1.0,0.6226415094339622,1.0,0.8387096774193548,0.8113207547169812
19,0.7072004795074462,0.124717776353021,0.0015524864196777,0.000367912317626,,,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'invscaling'}",0.5714285714285714,0.5625000000000001,0.5806451612903226,0.5934065934065934,0.5918367346938774,0.579963412163873,0.0118319395069432,1,mlp_norm_param_tuning,,,,,,,,,relu,0.0001,"(50, 10)",invscaling,,,,,,,,,,,,,,,,,,,,mlp,True,False,MLP_ND,1.0,0.6774193548387096,1.0,1.0,0.6226415094339622,1.0,0.8387096774193548,0.8113207547169812
74,0.2258480548858642,0.0012624184434405,0.0544113636016845,0.0004833295952539,,,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.6766917293233082,0.6349206349206348,0.6521739130434783,0.7142857142857143,0.7031249999999999,0.6762393983146271,0.0298561555798543,1,svc_norm_standard_scaler_param_tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,ovo,3.0,auto,poly,svc,True,True,SVC_SS_ND,1.0,0.5967741935483871,1.0,1.0,0.6212121212121211,1.0,0.7983870967741935,0.8106060606060606
76,0.2251234054565429,0.0009509000958581,0.0546394348144531,0.0006002066311749,,,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.6766917293233082,0.6349206349206348,0.6521739130434783,0.7142857142857143,0.7031249999999999,0.6762393983146271,0.0298561555798543,1,svc_norm_standard_scaler_param_tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,ovr,3.0,auto,poly,svc,True,True,SVC_SS_ND,1.0,0.5967741935483871,1.0,1.0,0.6212121212121211,1.0,0.7983870967741935,0.8106060606060606
